"Filename","JSON size (B)","serde-json peak memory usage (B)","ijson peak memory usage (B)","serde-json allocations","ijson allocations","serde-json clone memory usage (B)","ijson clone memory usage (B)","serde-json clone allocations","ijson clone allocations"
"rnd0000.json",801675,2610495,1277432,50034,17226,2586079,773744,50024,3340
"rnd0001.json",2278259,7561054,3400216,141997,42340,7339646,2196096,141985,9470
"rnd0002.json",57524,187974,100200,3618,1756,187366,55920,3612,246
"rnd0003.json",1506851,4919530,2346440,93998,29810,4857770,1453720,93987,6271
"rnd0004.json",2273920,7548704,3396944,141762,42324,7326784,2192432,141750,9455
"rnd0005.json",695541,2282875,1121872,43422,15164,2244283,671440,43411,2898
"rnd0006.json",1354265,4447932,2101800,84478,27108,4365852,1306432,84466,5636
"rnd0007.json",2059495,6886165,3129984,128379,38889,6635605,1985464,128367,8563
"rnd0008.json",1522971,4966780,2374248,94929,30126,4907036,1468104,94918,6332
"rnd0009.json",748227,2444994,1197144,46688,16110,2413410,722000,46678,3117
"rnd0010.json",1628101,5292524,2517472,101513,31856,5246796,1569952,101502,6772
"rnd0011.json",1674271,5436118,2580432,104421,32693,5396694,1614936,104410,6965
"rnd0012.json",2171263,7232003,3270560,135371,40742,6996419,2093592,135359,9029
"rnd0013.json",1670710,5424703,2578704,104188,32641,5384671,1611280,104176,6950
"rnd0014.json",1178663,3906002,1818152,73539,23877,3800626,1137280,73528,4907
"rnd0015.json",2304048,7642672,3433368,143665,42801,7424752,2221880,143653,9582
"rnd0016.json",1161623,3850692,1794760,72399,23577,3742884,1119648,72388,4831
"rnd0017.json",1565779,5100085,2438720,97628,30887,5046069,1509864,97617,6513
"rnd0018.json",1780898,5764898,2719080,111055,34523,5739586,1717520,111044,7408
"rnd0019.json",232878,755942,379552,14586,5761,754182,225520,14578,977
"rnd0020.json",1960822,6320791,2944744,122273,37453,6319351,1891040,122262,8156
"rnd0021.json",581950,1931081,934168,36312,12824,1877321,561480,36301,2425
"rnd0022.json",1973288,6618893,3023776,122981,37562,6356877,1901960,122969,8203
"rnd0023.json",584813,1941867,939352,36549,12897,1888683,565176,36539,2441
"rnd0024.json",1955258,6301774,2939520,121873,37377,6299470,1884808,121861,8129
"rnd0025.json",1860081,6009392,2817048,115990,35718,5994608,1793848,115979,7737
"rnd0026.json",2154567,7181150,3251520,134349,40517,6943326,2077800,134337,8961
"rnd0027.json",1074007,3581677,1667560,66984,21998,3462317,1035896,66973,4470
"rnd0028.json",381905,1248803,620552,23874,8927,1234147,369144,23865,1596
"rnd0029.json",632462,2088010,1023072,39487,13914,2041034,610632,39477,2637
"rnd0030.json",1401802,4593349,2170912,87401,27858,4517605,1351664,87390,5831
"rnd0031.json",1723844,5587776,2646096,107471,33517,5554848,1662072,107460,7168
"rnd0032.json",322542,1065223,532120,20164,7726,1042663,311792,20155,1348
"rnd0033.json",1032743,3454495,1617552,64421,21387,3329727,996240,64410,4299
"rnd0034.json",76931,255823,132220,4821,2248,249647,74496,4814,326
"rnd0035.json",1944849,6270177,2923872,121243,37132,6266529,1875064,121231,8087
"rnd0036.json",609987,2017862,980880,38067,13403,1967846,588624,38056,2542
"rnd0037.json",2136874,7124730,3226896,133197,40186,6884538,2059960,133185,8884
"rnd0038.json",1546694,5041250,2416152,96445,30589,4984770,1491544,96434,6433
"rnd0039.json",1727816,5600953,2648688,107738,33577,5568505,1666232,107727,7187
"rnd0040.json",360692,1182857,592824,22539,8544,1165353,348496,22530,1507
"rnd0041.json",1704029,5525638,2618248,106211,33142,5490022,1642592,106200,7085
"rnd0042.json",268305,898517,445056,16806,6530,868693,259848,16797,1125
"rnd0043.json",1709431,5544615,2627232,106611,33257,5509863,1648808,106600,7111
"rnd0044.json",720939,2360398,1158704,44978,15663,2325166,695552,44968,3003
"rnd0045.json",313033,1036722,514888,19599,7466,1012946,303024,19590,1311
"rnd0046.json",800799,2607612,1276312,49973,17205,2583036,772808,49963,3336
"rnd0047.json",793298,2584865,1266736,49520,17071,2559393,765816,49510,3305
"rnd0048.json",1641689,5334743,2535896,102371,32129,5290935,1583200,102360,6829
"rnd0049.json",1278803,4213592,1969304,79736,25635,4121496,1233112,79725,5320
"rnd0050.json",1621930,5271807,2506952,101079,31767,5225183,1563232,101068,6743
"rnd0051.json",356487,1170127,582784,22282,8416,1152015,344536,22273,1490
"rnd0052.json",1848279,5973067,2800664,115255,35520,5956715,1782480,115244,7688
"rnd0053.json",583158,1935182,937224,36400,12871,1881710,562864,36390,2431
"rnd0054.json",887650,2874898,1391448,55362,18779,2861778,856120,55351,3695
"rnd0055.json",2348130,7776017,3488496,146332,43509,7563857,2263144,146320,9759
"rnd0056.json",1385381,4541787,2148776,86348,27641,4463707,1335400,86337,5761
"rnd0057.json",1614915,5252118,2500872,100701,31667,5204758,1557400,100690,6717
"rnd0058.json",142038,473772,240080,8888,3816,459916,137376,8880,597
"rnd0059.json",1897804,6126610,2865440,118358,36363,6116818,1830488,118347,7895
"rnd0060.json",1974294,6625102,3029048,123134,37680,6363342,1904296,123121,8213
"rnd0061.json",1852796,5985969,2805864,115506,35601,5970193,1786384,115495,7704
"rnd0062.json",377270,1234736,614752,23591,8861,1219376,364744,23581,1577
"rnd0063.json",1347410,4424849,2086360,83991,26900,4341841,1298952,83980,5603
"rnd0064.json",1160917,3850001,1795000,72400,23659,3742225,1119656,72389,4831
"rnd0065.json",955856,3085775,1482448,59619,19978,3081807,921984,59609,3978
"rnd0066.json",2315305,7674497,3446864,144277,42957,7457953,2231360,144265,9622
"rnd0067.json",1622879,5277264,2510968,101213,31766,5230896,1565312,101202,6752
"rnd0068.json",857802,2783555,1352624,53525,18249,2766627,827760,53515,3572
"rnd0069.json",469417,1519264,747144,29333,10671,1516224,453584,29324,1960
"rnd0070.json",2201044,7323071,3304480,137201,41160,7091391,2121896,137189,9151
"rnd0071.json",1632397,5306404,2526400,101799,32025,5261316,1574368,101788,6791
"rnd0072.json",733914,2400900,1184400,45800,15980,2367492,708280,45790,3057
"rnd0073.json",1088392,3625856,1693096,67873,22328,3508352,1049608,67861,4529
"rnd0074.json",932486,3014655,1450632,58192,19577,3007583,899936,58182,3884
"rnd0075.json",268707,899438,444184,16821,6545,869646,260080,16812,1126
"rnd0076.json",2257526,7497716,3375656,140727,42058,7273588,2176424,140715,9386
"rnd0077.json",2302768,7638425,3432448,143574,42799,7420281,2220480,143562,9576
"rnd0078.json",40411,134987,72624,2551,1277,132203,39424,2545,174
"rnd0079.json",539077,1800249,866184,33687,11994,1740889,520872,33676,2249
"rnd0080.json",1823321,5896802,2772640,113725,35175,5877186,1758816,113714,7586
"rnd0081.json",1519852,4958661,2357776,94776,29994,4898661,1465760,94765,6322
"rnd0082.json",222911,725325,364432,13973,5574,722317,216024,13965,936
"rnd0083.json",590588,1958183,947336,36863,12994,1905639,570040,36853,2462
"rnd0084.json",190514,624837,315632,11943,4908,617509,184656,11935,800
"rnd0085.json",2355156,7797416,3493032,146759,43521,7586056,2269696,146746,9788
"rnd0086.json",1772446,5738986,2706296,110529,34267,5712522,1709392,110518,7373
"rnd0087.json",712878,2337165,1146008,44525,15463,2301037,688560,44515,2972
"rnd0088.json",1794369,5805649,2731448,111868,34639,5782001,1730064,111856,7462
"rnd0089.json",2195094,7305041,3297576,136842,41054,7072625,2116336,136830,9127
"rnd0090.json",2188344,7284830,3289168,136436,40948,7051518,2110056,136424,9099
"rnd0091.json",24991,82864,46840,1577,830,82000,24368,1572,110
"rnd0092.json",224554,730412,367264,14073,5603,727628,217592,14065,941
"rnd0093.json",409153,1333742,659976,25594,9474,1322766,395776,25585,1710
"rnd0094.json",2108912,7040025,3194808,131500,39795,6796153,2033728,131488,8771
"rnd0095.json",1805503,5839831,2747384,112555,34818,5817719,1740720,112544,7508
